Duration,Benchmark,Class,Zram % (gb),Tempo de CPU,Memoria media (KB),Falhas maiores,Falhas menores,Swaps,Troca de contextos,Troca de contextos voluntarias
03:32:00,bt,C,  0% ( 0 gb),00:35:00,0,"0,06",176578,0,12975,"6,58"
03:31:56,bt,C, 50% ( 0 gb),00:35,0,0,176578,0,13511,"5,38"
00:21:51,ep,C,  0% ( 0 gb),00:00,0,0,1186,0,1405,"4,72"
00:21:14,ep,C, 50% ( 0 gb),00:00,0,0,1186,0,1425,"4,35"
00:46:20,ft,C,  0% ( 0 gb),02:49,0,0,1313993,0,2701,"5,52"
00:46:20,ft,C, 50% ( 0 gb),02:49,0,0,1313993,0,2449,"5,66"
00:06:32,is,C,  0% ( 0 gb),00:53,0,0,270486,0,360,"1,03"
00:06:34,is,C, 50% ( 0 gb),00:53,0,0,270488,0,493,"1,72"
02:12:44,lu,C,  0% ( 0 gb),00:27,0,0,143025,0,7191,"4,31"
02:12:48,lu,C, 50% ( 0 gb),00:27,0,0,143026,0,7131,"4,32"
00:22:04,mg,C,  0% ( 0 gb),02:11,0,0,872835,0,1169,"4,1"
00:22:02,mg,C, 50% ( 0 gb),02:11,0,0,872834,0,1118,"4,12"
02:38:29,sp,C,  0% ( 0 gb),00:36,0,0,184848,0,8060,"4,98"
02:38:33,sp,C, 50% ( 0 gb),00:36,0,0,184848,0,8220,"4,92"
03:04:29,ua,C,  0% ( 0 gb),00:30,0,0,123359,0,10402,"202,63"
03:04:23,ua,C, 50% ( 0 gb),00:30,0,0,123359,0,9049,"203,67"